Threshold,HP Limit,User aware,Promotion Cycles,Accesses,Misses,Miss rate,Avg promotions per cycle,Page evictions,Hugepage evictions,Total insertions,"final state, num pages","final state, num hugepages",running?,,
0.0500,128,TRUE,2500,2179655452,17694602,0.81181%,6.91315222,17494691,1502,,58368,398,,,
0.1000,256,TRUE,2500,2179655452,17062090,0.78279%,2.26915002,16873226,0,,130560,257,,,
0.1250,256,TRUE,2500,2179655452,17191251,0.78871%,2.13628483,17001786,0,,130560,257,,117314,
0.1500,256,TRUE,2500,2179655452,17360396,0.79647%,1.36034691,17170445,0,,134144,250,,8113,
0.2500,128,TRUE,2500,2179655452,18226886,0.83623%,0.37892342,18030661,0,,196096,129,,,
0.2500,256,TRUE,2500,2179655452,18226886,0.83623%,0.37892342,18030661,0,,196096,129,,,59279
0.5000,256,TRUE,2500,2179655452,18226886,0.83623%,0.03777203,18030661,0,,196096,129,,,
0.7500,256,TRUE,2500,2179655452,18226886,0.83623%,0.01228979,18030661,0,,196096,129,,,
0.0500,256,FALSE,10000,2179655452,17652652,0.80988%,93.52675629,17039802,12133,,57856,399,,,
0.1000,256,FALSE,10000,2179655452,17290099,0.79325%,12.31263351,17079237,333,,82944,350,,,
0.1250,256,FALSE,10000,2179655452,16886885,0.77475%,8.99314117,16656312,76,,124928,268,,
0.1375,256,FALSE,10000,2179655452,16859519,0.77349%,7.74846792,16626182,66,,130048,258,,
0.1500,256,FALSE,10000,2179655452,16874653,0.77419%,6.00739002,16637960,62,,130560,257,,
0.1750,256,FALSE,10000,2179655452,16924225,0.77646%,2.54990768,16700828,22,,130560,257,,
0.2000,256,FALSE,10000,2179655452,16975010,0.77879%,1.68231177,16758655,2,,130560,257,,,
0.2250,256,FALSE,10000,2179655452,17034042,0.78150%,1.56464636,16817059,0,,130560,257,,,
0.2500,256,FALSE,10000,2179655452,17061430,0.78276%,1.5443542,16843647,0,,131072,256,,,
0.3000,256,FALSE,10000,2179655452,17536288,0.80454%,1.51326215,17315101,0,,153600,212,,
0.4000,256,FALSE,10000,2179655452,18255796,0.83755%,0.61263812,18012216,0,,196608,128,,
0.5000,256,FALSE,10000,2179655452,18226886,0.83623%,0.18263437,18030661,0,,196096,129,,,
0.6000,256,FALSE,10000,2179655452,18266455,0.83804%,0.17258233,18012216,0,,196608,128,,,
0.7500,256,FALSE,10000,2179655452,18269245,0.83817%,0.11683039,18012216,0,,196608,128,,,
0.8500,256,FALSE,10000,2179655452,18271001,0.83825%,0.01265796,18008921,0,,197120,127,,,
0.9000,256,FALSE,10000,2179655452,18271065,0.83825%,0.00886379,18008921,0,,197120,127,,,
0.1000,256,TRUE,10000,2179655452,17263393,0.79202%,12.31263351,17079237,333,,82944,350,,,
0.1500,256,TRUE,10000,2179655452,16847821,0.77296%,6.00739002,16637960,62,,130560,257,,,
0.1750,256,TRUE,10000,2179655452,16897393,0.77523%,2.54990768,16700828,22,,130560,257,,
0.5000,256,TRUE,10000,2179655452,18226886,0.83623%,0.18263437,18030661,0,,196096,129,,,
0.8500,256,TRUE,10000,2179655452,18226886,0.83623%,0.00957491,18030661,0,,196096,129,,,
